Voivodeship,Agricultural land in thousand ha,Total land in thousand ha
Mazowieckie*,"2089,3","3555,8"
Śląskie,447,"1233,3"
Wielkopolskie,"1755,1","2982,7"
Małopolskie,"690,8","1518,3"
Dolnośląskie,"971,3","1994,7"
Łódzkie,"1105,3","1821,9"
Pomorskie,"770,9","1832,4"
Podkarpackie,752,"1784,6"
Lubelskie,"1587,3","2512,3"
Kujawsko-pomorskie,1068,"1797,1"
Zachodniopomorskie,"998,7","2290,5"
Warmińsko-mazurskie,"1075,7","2417,3"
Świętokrzyskie,"596,6","1171,1"
Podlaskie,1147,"2018,7"
Lubuskie,"512,7","1398,8"
Opolskie,"551,9","941,2"
,,
Poland,"16119,6","31270,5"
