Deutschland,x̄ Lufttemperatur in C,x̄ Niederschlag in mm
Baden-Württemberg,"10,4",781
Bayern,"9,5",849
Berlin,"11,4",492
Brandenburg,"10,8",499
Bremen,"11,2",625
Hamburg,11,687
Hessen,"10,4",644
Mecklenburg-Vorpommern,"10,4",551
Niedersachsen,"10,8",689
Nordrhein-Westfalen,"11,1",746
Rheinland-Pfalz,"10,9",650
Saarland,"11,4",881
Sachsen,"10,3",695
Sachsen-Anhalt,"10,8",495
Schleswig-Holstein,"10,5",733
Thüringen,10,669
insgesamt,"10,4",710
