Oblast;Jahr;BIP_in_Mio_EUR
Blagoevgrad;2020;1643.29
Burgas;2020;2359.61
Dobrich;2020;947.94
Gabrovo;2020;721.94
Haskovo;2020;1169.32
Kardzhali;2020;732.17
Kyustendil;2020;612.53
Lovech;2020;738.82
Montana;2020;651.39
Pazardzhik;2020;1438.78
Pernik;2020;726.55
Pleven;2020;1294.59
Plovdiv;2020;5106.27
Razgrad;2020;671.84
Ruse;2020;1591.14
Shumen;2020;994.46
Silistra;2020;504.65
Sliven;2020;774.10
Smolyan;2020;606.90
Sofia (Oblast);2020;2102.43
Sofia-Stadt;2020;27184.37
Stara Zagora;2020;2665.88
Targovishte;2020;676.95
Varna;2020;3789.70
Veliko Tarnovo;2020;1480.19
Vidin;2020;405.97
Vratsa;2020;1096.72
Yambol;2020;636.56
