Kanton,BIP_Mio_EUR,BIP_ProKopf_EUR
Zürich,139868.08,90039
Bern,75544.29,72421
Luzern,26284.45,63282
Uri,1857.71,50455
Schwyz,9393.99,57931
Obwalden,2417.85,63447
Nidwalden,2686.93,62164
Glarus,2600.33,64063
Zug,19047.27,149224
Freiburg,17704.19,54391
Solothurn,17005.00,61288
Basel-Stadt,35345.18,180476
Basel-Landschaft,19183.07,65530
Schaffhausen,6789.07,81691
Appenzell Ausserrhoden,3200.71,57728
Appenzell Innerrhoden,977.63,60617
St. Gallen,36184.26,70328
Graubünden,13711.44,68524
Aargau,41347.02,59572
Thurgau,16460.23,58182
Tessin,27201.62,76759
Waadt,52909.38,64896
Wallis,17834.75,51616
Neuenburg,14361.26,81206
Genf,48759.70,96721
Jura,4336.17,58928
