Voivodeship,In million PLN,Per capita in PLN
Mazowieckie*,477857,88626
Śląskie,260532,57384
Wielkopolskie,208190,59643
Małopolskie,172708,50861
Dolnośląskie,175690,60562
Łódzkie,126981,51397
Pomorskie,124953,53669
Podkarpackie,83062,39019
Lubelskie,79472,37458
Kujawsko-pomorskie,93294,44854
Zachodniopomorskie,78252,45949
Warmińsko-mazurskie,54524,38094
Świętokrzyskie,49683,39926
Podlaskie,46860,53669
Lubuskie,46145,45443
Opolskie,43353,43879
,,
Poland,2121555,55230
