Voivodeship,Population in thousands,per 1 km^2
Mazowieckie*,"5423,2",153
Śląskie,"4517,6",366
Wielkopolskie,"3498,7",117
Małopolskie,"3410,9",225
Dolnośląskie,"2900,2",145
Łódzkie,"2454,8",135
Pomorskie,"2343,9",128
Podkarpackie,"2127,2",119
Lubelskie,"2108,3",84
Kujawsko-pomorskie,"2072,4",115
Zachodniopomorskie,"1696,2",74
Warmińsko-mazurskie,"1422,7",59
Świętokrzyskie,1234,105
Podlaskie,"1178,4",58
Lubuskie,"1011,6",72
Opolskie,"982,6",104
*warszawski stołeczny,"3085,6",505
*mazowiecki regionalny,"2337,6",79
,,
Poland,"38382,6",123
