Oblast,Agricultural land in thousand ha,Total land in thousand ha
Blagoevgrad,"135,4","644,9"
Burgas,"312,5","774,8"
Dobrich,"345,2","471,4"
Gabrovo,"68,1","202,3"
Haskovo,"240,6","553,3"
Kardzhali,"95,3","320,9"
Kyustendil,"90,4","305,2"
Lovech,"165,2","412,9"
Montana,"198,7","363,5"
Pazardzhik,"125,8","445,7"
Pernik,"78,4","239,4"
Pleven,"320,1","465,3"
Plovdiv,"298,5","597,3"
Razgrad,"154,3","263,1"
Ruse,"189,6","280,3"
Shumen,"192,4","339,0"
Silistra,"204,1","284,6"
Sliven,"186,7","354,4"
Smolyan,"46,2","319,3"
Sofia (province),"210,5","706,2"
Sofia (city),"42,1","134,4"
Stara Zagora,"270,8","515,1"
Targovishte,"120,4","271,0"
Varna,"215,3","382,0"
Veliko Tarnovo,"232,9","466,2"
Vidin,"156,4","303,2"
Vratsa,"222,8","362,0"
Yambol,"242,4","335,5"
Landesdurchschnitt,"184,2","401,7"
