1,Oblast,x̄ Annual average air temperature in C,x̄ Total annual atmospheric precipitation in mm
2,Blagoevgrad,13.1,580
3,Burgas,13.5,540
4,Dobrich,12.1,420
5,Gaborovo,10.9,710
6,Haskovo,13.8,550
7,Kardzhali,13.0,720
8,Kyustendil,11.8,535
9,Lovech,12.2,610
10,Montana,12.5,560
11,Pazardzhik,12.8,510
12,Pernik,10.5,550
13,Pleven,13.1,495
14,Plovdiv,13.6,580
15,Razgrad,11.9,510
16,Ruse,13.2,530
17,Shumen,12.2,525
18,Silistra,12.8,480
19,Sliven,13.3,520
20,Smolyan,8.9,890
21,Sofia-Stadt,11.2,590
22,Sofia (Oblast),10.2,670
23,Stara Zagora,13.5,535
24,Targovishte,12.1,515
25,Varna,13.0,415
26,Veliko Tarnovo,12.6,565
27,Vidin,12.4,510
28,Vratsa,12.2,545
29,Yambol,13.7,510
30,Landesdurchschnitt,12.4,557.7
